

Lista;V=10;gestosc=25
nr;BFS;DFS;Dijkstra;BellmanFord
23;9819;11642;21086;25677;
24;9816;11689;20523;25892;
25;10147;12078;21220;25595;
26;9272;12041;20646;26416;
27;9490;12485;20997;25603;
28;9297;12180;20893;25521;
29;9272;11749;20702;26204;
30;9328;11942;20631;25522;
31;9307;11753;20780;25767;
32;9292;11073;20941;25824;
33;14176;12447;52603;26794;
34;12242;12441;21256;25799;
35;10890;11752;20247;25427;
36;9993;11474;20095;26146;
37;9924;11318;20110;26299;
38;9856;11872;20102;25348;
39;9769;11646;20015;25653;
40;10230;12873;20198;25730;
41;9700;11942;20712;25326;
42;9939;11690;20036;25885;
43;9328;11326;20590;25630;
44;13728;12574;21185;26762;
45;10804;11880;20844;26012;
46;10075;11819;20457;25819;
47;9801;11724;20539;25870;
48;9706;11428;20560;26435;
49;9660;12016;20477;25694;
50;9897;11215;21309;26025;
51;9885;11302;20991;26627;
52;9901;11300;63250;45236;
53;13319;12458;20895;25665;
54;15389;12691;21435;25902;
55;10996;12530;20778;25834;
56;10303;12389;20728;25633;
57;10017;12148;20399;26102;
58;9980;11983;20482;26602;
59;14958;12766;21849;26334;
60;10941;12257;20615;27108;
61;10300;11892;21062;26002;
62;9992;12301;20317;26219;
63;9773;12205;20136;25229;
64;9909;12202;20259;25671;
65;9739;11415;20560;25973;
66;10110;12412;20209;25175;
67;9857;11910;20470;25171;
68;9833;11514;20815;24946;
69;14915;13026;21473;25948;
70;10963;11844;20711;26607;
71;10289;12571;20554;25679;
72;9862;12279;20473;25124;
73;10048;12159;20678;26108;
74;10117;12027;20435;25755;
75;10232;11986;20373;25558;
76;10020;11618;20987;26186;
77;9874;11382;20770;25747;
78;9898;11678;21258;26037;
79;9883;12003;20459;25900;
80;10037;11901;20349;25805;
81;9973;12050;20300;25610;
82;9853;12078;20904;25746;
83;9815;11771;20415;25421;
84;10150;11860;20852;25546;
85;9941;11255;20778;25191;
86;10000;12439;20605;25668;
87;9892;11415;20247;25615;
88;10064;11638;20568;25736;
89;10009;11761;20441;26022;
90;9845;11261;20514;25930;
91;11010;12865;20887;26434;
92;15758;12255;21924;25973;
93;11086;11927;20865;25945;
94;10264;11351;20550;25800;
95;9818;11333;20533;25894;
96;10158;11706;20409;26355;
97;10378;11603;21375;26104;
98;10171;11952;20835;26759;
99;10124;11950;20620;25843;
100;10077;11543;20771;25686;



Lista;V=10;gestosc=100
nr;BFS;DFS;Dijkstra;BellmanFord
1;13756;13934;21274;24318;
2;10422;13616;20186;24211;
3;11028;13846;20402;23740;
4;9895;14632;20818;23644;
5;11337;13728;20284;24035;
6;10099;13545;20114;23781;
7;16353;13945;20907;24517;
8;11842;13562;20251;24102;
9;10938;13348;20345;23979;
10;10541;13385;20030;24283;
11;11655;13873;20930;24472;
12;15529;14231;20849;24454;
13;10593;13568;20053;23775;
14;9957;13499;20228;23974;
15;9587;13323;19964;23549;
16;9697;13276;20481;24191;
17;10111;13457;20427;28720;
18;13670;13913;20303;24239;
19;10721;13541;20822;24774;
20;14843;14119;21554;24578;
21;10858;13523;20169;23964;
22;9789;13369;20123;23880;
23;9683;13327;19909;23893;
24;10065;13222;19713;23904;
25;9659;13405;19872;23912;
26;9773;13599;20036;24094;
27;9516;13262;20054;23817;
28;9468;13274;19902;23398;
29;9301;13429;19697;23573;
30;9753;13302;21882;23810;
31;9927;13411;19795;23916;
32;9551;13338;19932;25432;
33;9915;13188;21843;23737;
34;9746;13146;19743;23499;
35;9733;13100;20622;24220;
36;11253;14192;20142;24013;
37;16980;14067;21056;27672;
38;10823;13693;20495;24004;
39;10175;13490;20514;23805;
40;10028;31168;23557;24238;
41;12050;13672;20304;24015;
42;19588;14310;21155;24284;
43;10549;13578;20507;23812;
44;14403;14079;21419;24261;
45;10669;13714;20342;24015;
46;10123;13479;20377;24020;
47;10186;13623;20419;24726;
48;10468;13423;20212;24099;
49;10881;13507;20136;23870;
50;10862;13337;20681;23731;
51;10349;13516;20555;26039;
52;10371;13918;19903;23768;
53;10723;13782;22179;23892;
54;16459;14357;21697;24869;
55;14230;70407;28206;33127;
56;14057;13987;21743;25285;
57;10693;13573;20380;24111;
58;9824;13229;20200;23777;
59;10083;13529;20103;23704;
60;9972;13317;19705;23558;
61;12745;19896;28614;24253;
62;17416;14009;20995;24315;
63;10250;13441;20567;24827;
64;9612;13608;20511;23769;
65;10187;13753;21195;24255;
66;15000;14044;48855;25787;
67;12252;13869;20319;24150;
68;10150;13563;20066;23631;
69;9824;13306;19868;23571;
70;10288;13176;19992;23605;
71;9817;13301;19854;23521;
72;9677;13201;19774;23841;
73;9443;13236;19913;23884;
74;9634;13285;19707;23536;
75;9756;13290;19799;23853;
76;9555;13223;19705;23581;
77;11834;13501;19945;24273;
78;51721;42324;33066;54193;
79;22618;21528;32551;39956;
80;14896;14055;21195;24325;
81;10750;13866;20153;24293;
82;10150;13412;20187;23608;
83;10041;13313;19873;23729;
84;9818;13364;19635;23628;
85;11073;13495;20343;23429;
86;9729;13304;19797;24312;
87;10059;13424;19532;23542;
88;10206;13534;20352;23827;
89;10345;13286;19739;23936;
90;17241;14014;22220;24869;
91;12457;13625;20505;47931;
92;21510;31225;22893;54652;
93;13463;13823;21412;23914;
94;14584;14076;21667;24214;
95;14804;14025;21060;24228;
96;11907;13600;20254;23751;
97;10723;13853;20968;24159;
98;26852;32337;27129;44434;
99;19915;33661;59389;58061;
100;13092;13976;20638;24195;



Macierz;V=10;gestosc=100
nr;BFS;DFS;Dijkstra;BellmanFord
1;12201;13371;20472;26273;
2;10188;13141;20632;26160;
3;9963;13342;19865;26022;
4;9784;13419;20174;26028;
5;9900;13242;20191;25769;
6;9743;13209;20075;25627;
7;9806;13245;19843;25634;
8;9754;13275;19830;25899;
9;9839;14690;20130;25633;
10;9720;13355;19861;26052;
11;9781;13334;20018;26001;
